E (eV),sigma (barns)
1e-06,0.027011153375792827
1.066733937734857e-06,0.026152635608407533
1.137921293915314e-06,0.025321404819355298
1.213859262690629e-06,0.02451659372409658
1.2948648711459048e-06,0.023737362603711808
1.3812763028320094e-06,0.022982898428760383
1.4734543096198343e-06,0.022252414010987046
1.5717837177731643e-06,0.0215451471819901
1.676675034527701e-06,0.02086035999799497
1.7885661618834618e-06,0.020197337969902595
1.9079242247652652e-06,0.01955538931781035
2.0352475211835757e-06,0.018933844249226835
2.171067602537267e-06,0.018332054260227878
2.3159514927431547e-06,0.017749391458824454
2.4705040554568255e-06,0.0171852479098365
2.635370519267393e-06,0.01663903500058922
2.811239171408467e-06,0.016110182826770007
2.998844231231031e-06,0.0155981395978051
3.198968915434538e-06,0.01510237106113561
3.4124487078528897e-06,0.01462235994479245
3.6401748474461376e-06,0.014157605417688192
3.883098049059609e-06,0.013707622567062904
4.142232472483898e-06,0.013271941892538953
4.418659956385941e-06,0.012850108816256407
4.713534534786907e-06,0.012441683208578462
5.028087254942475e-06,0.012046238928871522
5.363631316739246e-06,0.011663363380881286
5.721567555063252e-06,0.011292657082240545
6.1033902880286215e-06,0.010933733247659623
6.510693555481454e-06,0.010586217385364766
6.945177773823689e-06,0.01024974690636316
7.408656834939568e-06,0.009923970746127008
7.903065678861349e-06,0.009608548998301995
8.430468371788967e-06,0.00930315256005781
8.993066723187632e-06,0.009007462788710846
9.59320947793825e-06,0.008721171169260772
1.0233402121916423e-05,0.008443978992493937
1.0916317341936148e-05,0.008175597043318042
1.1644806183726854e-05,0.007915733082281998
1.2421909954526187e-05,0.007664132342434617
1.3250872919979539e-05,0.007420540233260782
1.4135155848353956e-05,0.007184678665878977
1.507845045861051e-05,0.006956309372827656
1.6084694832653552e-05,0.0067351945354910785
1.7158089856100067e-05,0.006521120055949057
1.830311675620613e-05,0.006313852302806286
1.952455581016861e-05,0.006113169358970584
2.0827506301905144e-05,0.005918862405615975
2.2217407810628824e-05,0.005730731063471467
2.3700062920093303e-05,0.005548581293062157
2.5281661443315004e-05,0.005372221505620859
2.6968806263906926e-05,0.005201467181067196
2.876854090190597e-05,0.00503613912799544
3.068837891917639e-05,0.004876068174479463
3.273633528715248e-05,0.004721085413229307
3.492095984787272e-05,0.004571024767054628
3.7251373008002096e-05,0.004425734105439557
3.973730381485612e-05,0.004285062485191206
4.238913057338783e-05,0.0041488686825359375
4.521792417370702e-05,0.004016999157633572
4.8235494310014675e-05,0.0038893180897938005
5.1454438783909244e-05,0.0037656963471044283
5.488819609789677e-05,0.0036460066238418404
5.855110155867244e-05,0.0035301230757212644
6.245844712439617e-05,0.0034179166776926446
6.66265452458115e-05,0.003309277006624613
7.107279696773412e-05,0.0032040906688654905
7.581576457522117e-05,0.003102250841074019
8.087524908770458e-05,0.0030036492549042806
8.62723729246145e-05,0.0029081830052298864
9.20296680876041e-05,0.0028157485170819513
9.817117022752184e-05,0.0027262504340631708
0.00010472251898884355,0.0026395952517805975
0.00011171106505048242,0.0025556951374676603
0.00011916598430985587,0.002474464085152454
0.0001271183996869029,0.0023958180518903606
0.00013560151105656334,0.0023196688472949104
0.0001446507338521647,0.002245939957436916
0.00015430384691835647,0.002174554995087671
0.00016460115023085513,0.0021054352606026047
0.00017558563314144687,0.0020385109162952613
0.00018730315385064364,0.001973711908806444
0.00019980263085725506,0.0019109806913889878
0.00021313624718414376,0.0018502443403051027
0.00022735966823277175,0.001791436797426051
0.0002425322741760353,0.0017344952008421478
0.0002587174078595924,0.0016793636457061117
0.00027598263924661807,0.001625987176253271
0.00029440004751000336,0.001574302569229756
0.0003140465219496752,0.0015242604776447572
0.0003350040829913133,0.0014758129890193122
0.0003573602246065788,0.00142890776526673
0.0003812082795843888,0.0013834935137773934
0.0004066478091781858,0.0013395195176412224
0.0004337850187558989,0.001296943845120249
0.0004627332011878693,0.001255721257336287
0.0004936132098237916,0.0012158065297738167
0.0005265539630332755,0.0011771605679273352
0.0005616929824163809,0.0011397436987614956
0.0005991769669310619,0.001103520992030436
0.0006391624053344006,0.0010684457949447167
0.0006818162294944479,0.0010344834328547341
0.0007273165113001462,0.0010016046123893473
0.0007758532060787836,0.0009697698835078275
0.0008276289456246352,0.0009389462976862233
0.000882859884149515,0.0009091020983319164
0.0009417766006869519,0.0008802070038753412
0.0010046250617173414,0.0008522307607862003
0.0010716676480328634,0.0008251435471394169
0.0011431842501291502,0.0007989159880261845
0.0012194734366967382,0.0007735207993260498
0.001300853701090572,0.00074893567348485
0.0013876647909813085,0.0007251314235866366
0.0014802691267395086,0.000702083079612592
0.0015790533144741758,0.0006797681346572179
0.0016844297600423152,0.0006581624610009563
0.0017968383907677212,0.0006372434502789361
0.001916748492056815,0.0006169885281649158
0.0020446606665791177,0.0005973778898645625
0.00218110892419152,0.0005783914386883418
0.002326662911331458,0.0005600079164948719
0.002481930289186255,0.0005422085782845654
0.0026475592705670664,0.0005249749070762766
0.002824241326078436,0.0005082889875539594
0.0030127140708811643,0.0004921335519840198
0.0032137643441002787,0.0004764918921339865
0.0034282314937339707,0.00046134684025468653
0.003657010880777493,0.0004466831751364164
0.0039010576171909935,0.0004324859549812543
0.004161390553316707,0.0004187398131562844
0.004439096531392171,0.0004054305998981791
0.004735334922917116,0.00039254462472748517
0.005051342468816766,0.00038006788714763654
0.005388438442608223,0.0003679877843923933
0.005748030158125357,0.000356292365417867
0.006131618844795775,0.00034496817749092855
0.00654080591499826,0.0003340037599369247
0.006977299649665538,0.00032338812269608645
0.007442922330043758,0.0003131099939923378
0.007939617845382283,0.0003031585805025839
0.008469459808314586,0.0002935233870534466
0.009034660211810534,0.00028419441684023126
0.009637578663841089,0.0002751619614029583
0.010280732238308648,0.0002664167690162842
0.010966805983368697,0.00025794981477530164
0.011698664131013082,0.0002497521038338282
0.012479362054713113,0.00024181405338884353
0.013312159025043077,0.00023412863996738394
0.014200531816536818,0.00022668776100067826
0.015148189222583474,0.00021948326593067903
0.016159087538959192,0.00021250811014145523
0.0172374470806362,0.00020575497458213705
0.018387769800823267,0.00019921663758526141
0.019614858085794294,0.00019288591354616648
0.020923834803969792,0.0001867561919493476
0.022320164692952345,0.00018082229654545177
0.023809677173803584,0.00017507687185684687
0.02539859068780724,0.00016951316265038376
0.027093538657320542,0.00016412726867062795
0.028901597179095115,0.00015891274860806617
0.03083031456568277,0.0001538641180577108
0.0328877428582551,0.00014897643167656208
0.035082471442397886,0.00014424394979852315
0.037423662907219844,0.00013966174728190507
0.03992109129748053,0.00013522623287759615
0.04258518291843415,0.00013093186278531434
0.04542705986374043,0.00012677415664430296
0.048458586448165,0.0001227498885149295
0.051692418738916036,0.00011885401057493788
0.05514205739240302,0.00011508250945207632
0.058821904016999556,0.00011143123837105972
0.06274732129711574,0.00010789617362934007
0.06693469712958668,0.0001044737128631939
0.07140151304013403,0.00010115922140118383
0.07616641716552892,9.79496178974982e-05
0.08124930210614048,9.484152812916941e-05
0.08667138797389225,9.18319070547388e-05
0.0924553109823358,8.891794132974778e-05
0.09862521794868784,8.609679776560161e-05
0.10520686710236228,8.336638335869321e-05
0.11222773562085071,8.072326259471884e-05
0.1197171343418968,7.816494289166905e-05
0.12770633013086446,7.568854553171392e-05
0.1362286764141647,7.329095431165083e-05
0.14531975242368955,7.096961996163128e-05
0.1550175117335769,6.872165477307504e-05
0.16536244070941822,6.654492889783824e-05
0.17639772753140454,6.443745816867094e-05
0.18816944249705556,6.23963868325524e-05
0.20072673035625682,6.0419668304954256e-05
0.21412201548157317,5.85048933766635e-05
0.22841122073038256,5.6651137566566506e-05
0.2436540009125466,5.4856523679111175e-05
0.2599139918382933,5.3120120058031726e-05
0.2772590759860481,5.143820586845029e-05
0.2957616658993257,4.980913126334436e-05
0.31549900649580886,4.823053515383743e-05
0.33655349755070946,4.670285466698147e-05
0.35901303770070686,4.522415889836677e-05
0.3829713914046285,4.3792327805366575e-05
0.40852858039285656,4.240484431323223e-05
0.435791301239703,4.1060538931118675e-05
0.4648733708020257,3.9758400000821665e-05
0.49589620138372115,3.849936297100701e-05
0.5289893076098157,3.72818153756312e-05
0.5642908471262542,3.610177565016046e-05
0.6019481973827274,3.4957955001718416e-05
0.6421185709064758,3.384854367174596e-05
0.6849696716357454,3.277706718375879e-05
0.7306803950529507,3.173933276498854e-05
0.779441575040495,3.07332820434631e-05
0.8314567805772064,2.975980482886242e-05
0.8869431656014705,2.8818289199926713e-05
0.9461323755890779,2.790875451307622e-05
1.0092715146305717,2.7037242934801926e-05
1.0766241770454934,2.619797410276996e-05
1.148471547840289,2.539155425261817e-05
1.2251135766041177,2.4612075382346847e-05
1.3068702297433477,2.3857963494179723e-05
1.3940828262825786,2.312937974895271e-05
1.4871154628089538,2.241918721524914e-05
1.5863565335085896,2.17287301717239e-05
1.692220351641039,2.1063452275912212e-05
1.8051488792211101,2.041826089514015e-05
1.9256135721291987,1.9792623948435385e-05
2.0541173483530644,1.9185318480706942e-05
2.1911966875781475,1.8596227502208115e-05
2.337423870891817,1.8024447431401048e-05
2.4934093699518804,1.747148967957893e-05
2.6598043955937585,1.6936199287345935e-05
2.8373036165162113,1.6418057281337677e-05
3.0266480593956953,1.5914244472289147e-05
3.2286282025367337,1.542397742241764e-05
3.4440872759738235,1.495227189303778e-05
3.673924781802074,1.449478350278681e-05
3.919100249433402,1.4050086392831825e-05
4.180637241455762,1.3618801393422645e-05
4.4596276268190955,1.3200628757426965e-05
4.7572361391878895,1.2794972526471311e-05
5.074705239490466,1.2402915455241629e-05
5.413360302965375,1.2023695222162337e-05
5.774615152359826,1.1654586425179547e-05
6.159977960380169,1.1296523404243561e-05
6.571057546036271,1.094900098326583e-05
7.009570091165618,1.0613833304592487e-05
7.477346305177596,1.0288957809553916e-05
7.976339067929281,9.972384722552508e-06
8.508631582640582,9.666348500499826e-06
9.076446072885357,9.370487476930899e-06
9.682153059967076,9.086086633485788e-06
10.328281259410296,8.818565931236165e-06
11.017528137883874,8.572400199430651e-06
11.752771174629451,8.33297382844279e-06
12.537079874409196,8.10048321332577e-06
13.373728582124977,7.877122113246714e-06
14.266210152607384,7.657944208349838e-06
15.21825053264387,7.443503858070122e-06
16.23382431612278,7.235456369673821e-06
17.31717133723353,7.0340026004815925e-06
18.47281437099636,6.8391357499809195e-06
19.705578015018006,6.651491221561776e-06
21.020608831301583,6.485291330804812e-06
22.42339683219845,6.332661881983475e-06
23.91979840020242,6.18331703977025e-06
25.516060737271864,6.037558459465691e-06
27.218847945751797,5.895824597025446e-06
29.035268849778138,5.757340279131916e-06
30.972906673314068,5.621311067273337e-06
33.03985069871862,5.488803429131796e-06
35.24473003801588,5.360350403454053e-06
37.59674965785467,5.2348847648660106e-06
40.10572880855496,5.112274169887724e-06
42.782142017676215,4.992072973297775e-06
45.637162819247635,4.874339290423908e-06
48.68271040122284,4.7604819927124685e-06
51.93149936590212,4.667938054319789e-06
55.397092811064006,4.593988985843972e-06
59.09395895340977,4.52029660374413e-06
63.03753153071282,4.447357880899257e-06
67.24427423484249,4.375655569429547e-06
71.73174944465613,4.305196763433601e-06
76.51869154570818,4.235977076646912e-06
81.62508514287236,4.168210498571432e-06
87.07224849239923,4.101528040882102e-06
92.88292250172499,4.036276649814778e-06
99.08136566858666,3.9723928901764655e-06
105.69345535579873,3.931820782598152e-06
112.74679582449473,3.897690866273515e-06
120.27083347685145,3.863857212482896e-06
128.29697978941476,3.830364102230976e-06
136.85874245025204,3.7973378434744196e-06
145.99186524739773,3.7645963445313868e-06
155.73447729261352,3.747921587608581e-06
166.12725220342963,3.747281229566267e-06
177.21357790803586,3.7466409809334983e-06
189.03973778192233,3.7460008416915954e-06
201.65510387247443,3.7453608118218604e-06
215.11234301821673,3.7447208913056074e-06
229.4676367231941,3.7440810801241524e-06
244.78091570444403,3.7434413782588075e-06
261.11611009174624,3.7428017856909095e-06
