E (eV),sigma (barns)
1e-06,170.3605093885509
1.066733937734857e-06,164.96914678904147
1.137921293915314e-06,159.7484034884747
1.213859262690629e-06,154.6928799343934
1.2948648711459048e-06,149.79734745282207
1.3812763028320094e-06,145.05674284051207
1.4734543096198343e-06,140.46616312832478
1.5717837177731643e-06,136.02086051033686
1.676675034527701e-06,131.71623743342437
1.7885661618834618e-06,127.547841842243
1.9079242247652652e-06,123.51136257469152
2.0352475211835757e-06,119.6026249030936
2.171067602537267e-06,115.81758621648686
2.3159514927431547e-06,112.15233183955324
2.4705040554568255e-06,108.60307098386718
2.635370519267393e-06,105.16613282727315
2.811239171408467e-06,101.83796271733976
2.998844231231031e-06,98.61511849496036
3.198968915434538e-06,95.49426693430145
3.4124487078528897e-06,92.47218029541422
3.6401748474461376e-06,89.5457329859459
3.883098049059609e-06,86.71189832849596
4.142232472483898e-06,83.96774543027668
4.418659956385941e-06,81.31043615183684
4.713534534786907e-06,78.7372221717179
5.028087254942475e-06,76.2454421440022
5.363631316739246e-06,73.83251894581728
5.721567555063252e-06,71.49595701194693
6.1033902880286215e-06,69.23333975379356
6.510693555481454e-06,67.04232706002183
6.945177773823689e-06,64.92065287629951
7.408656834939568e-06,62.86612286163077
7.903065678861349e-06,60.876612118860415
8.430468371788967e-06,58.95006299699847
8.993066723187632e-06,57.08448296309595
9.59320947793825e-06,55.27794254146786
1.0233402121916423e-05,53.52857331813351
1.0916317341936148e-05,51.83456600840969
1.1644806183726854e-05,50.19475149059293
1.2421909954526187e-05,48.60719069218484
1.3250872919979539e-05,47.07039217611446
1.4135155848353956e-05,45.58271829144772
1.507845045861051e-05,44.14242824150193
1.6084694832653552e-05,42.748225908558695
1.7158089856100067e-05,41.398864975116005
1.830311675620613e-05,40.09254616454913
1.952455581016861e-05,38.828066492239316
2.0827506301905144e-05,37.60419113327968
2.2217407810628824e-05,36.41937125329084
2.3700062920093303e-05,35.27267133038502
2.5281661443315004e-05,34.16285404640959
2.6968806263906926e-05,33.0884871654041
2.876854090190597e-05,32.048811045009046
3.068837891917639e-05,31.04258161819228
3.273633528715248e-05,30.06850982992945
3.492095984787272e-05,29.12603486601651
3.7251373008002096e-05,28.21391626549084
3.973730381485612e-05,27.330991162007322
4.238913057338783e-05,26.476946539166537
4.521792417370702e-05,25.65043085089806
4.8235494310014675e-05,24.85039091673915
5.1454438783909244e-05,24.076625642872166
5.488819609789677e-05,23.327840851900948
5.855110155867244e-05,22.603100156189743
6.245844712439617e-05,21.902451442394135
6.66265452458115e-05,21.22443792402742
7.107279696773412e-05,20.568250988912197
7.581576457522117e-05,19.934116394246438
8.087524908770458e-05,19.320440373535497
8.62723729246145e-05,18.726609154606145
9.20296680876041e-05,18.15295379073742
