E (eV),sigma (barns)
1e-06,3666.2094589630733
1.066733937734857e-06,3549.7061184374925
1.137921293915314e-06,3436.9049745554876
1.213859262690629e-06,3327.6883803901414
1.2948648711459048e-06,3221.9424275516308
1.3812763028320094e-06,3119.5568273854437
1.4734543096198343e-06,3020.4247959459253
1.5717837177731643e-06,2924.4429426249912
1.676675034527701e-06,2831.5111623200423
1.7885661618834618e-06,2741.532531028456
1.9079242247652652e-06,2654.413204759874
2.0352475211835757e-06,2570.062321660791
2.171067602537267e-06,2488.391907249415
2.3159514927431547e-06,2409.3167826619124
2.4705040554568255e-06,2332.7544758143795
2.635370519267393e-06,2258.6251353878624
2.811239171408467e-06,2186.8514475467537
2.998844231231031e-06,2117.3585553036396
3.198968915434538e-06,2050.0739804465716
3.4124487078528897e-06,1984.9275479472788
3.6401748474461376e-06,1921.8513127715305
3.883098049059609e-06,1860.7794890152588
4.142232472483898e-06,1801.6483812926024
4.418659956385941e-06,1744.3963183042358
4.713534534786907e-06,1688.9635885167638
5.028087254942475e-06,1635.292377886063
5.363631316739246e-06,1583.326709559616
5.721567555063252e-06,1533.0123854949882
6.1033902880286215e-06,1484.2969299334898
6.510693555481454e-06,1437.1295346701475
6.945177773823689e-06,1391.461006062836
7.408656834939568e-06,1347.2437137253532
7.903065678861349e-06,1304.4315408508962
8.430468371788967e-06,1262.9798361141345
8.993066723187632e-06,1222.845367101725
9.59320947793825e-06,1183.9862752227032
1.0233402121916423e-05,1146.362032051693
1.0916317341936148e-05,1109.9333970594378
1.1644806183726854e-05,1074.6638567117648
1.2421909954526187e-05,1040.5168870764658
1.3250872919979539e-05,1007.4581191505561
1.4135155848353956e-05,975.4490140405748
1.507845045861051e-05,944.4564584076593
1.6084694832653552e-05,914.4479103919012
1.7158089856100067e-05,885.3954612731487
1.830311675620613e-05,857.2668579108716
1.952455581016861e-05,830.0320713957824
2.0827506301905144e-05,803.6634615999416
2.2217407810628824e-05,778.133349461551
2.3700062920093303e-05,753.415966396766
2.5281661443315004e-05,729.4843368367533
2.6968806263906926e-05,706.3133470227814
2.876854090190597e-05,683.8793121676101
3.068837891917639e-05,662.1592555332984
3.273633528715248e-05,641.1299807976179
3.492095984787272e-05,620.7699666286273
3.7251373008002096e-05,601.0573317997276
3.973730381485612e-05,581.9714129154135
4.238913057338783e-05,563.4936907300278
4.521792417370702e-05,545.6039187943513
4.8235494310014675e-05,528.2830914239163
5.1454438783909244e-05,511.51356382950485
5.488819609789677e-05,495.2775444131262
5.855110155867244e-05,479.5578939490139
6.245844712439617e-05,464.33954174900606
6.66265452458115e-05,449.6053870464767
7.107279696773412e-05,435.3399156930201
7.581576457522117e-05,421.52964423636894
8.087524908770458e-05,408.158813309781
8.62723729246145e-05,395.2135050300567
9.20296680876041e-05,382.6806940272189
9.817117022752184e-05,370.54682363767006
0.00010472251898884355,358.79943367421174
0.00011171106505048242,347.4277298895011
0.00011916598430985587,336.41812026982427
0.0001271183996869029,325.759407236007
0.00013560151105656334,315.4413087989432
0.0001446507338521647,305.4515360772631
0.00015430384691835647,295.780034548205
0.00016460115023085513,286.41722195616717
0.00017558563314144687,277.35295241971437
0.00018730315385064364,268.57892261170696
0.00019980263085725506,260.08551450591114
0.00021313624718414376,251.86252453571907
0.00022735966823277175,243.90216164792827
0.0002425322741760353,236.19728708021927
0.0002587174078595924,228.73815865865046
0.00027598263924661807,221.5180978703519
0.00029440004751000336,214.52937988869874
0.0003140465219496752,207.76362570654442
0.0003350040829913133,201.2156518309371
0.0003573602246065788,194.8773465699266
0.0003812082795843888,188.74131856882818
0.0004066478091781858,182.80387106822434
0.0004337850187558989,177.0567704328381
0.0004627332011878693,171.49299001166233
0.0004936132098237916,166.10911865796828
0.0005265539630332755,160.89898484662396
0.0005616929824163809,155.85571122879045
0.0005991769669310619,150.97649704694197
0.0006391624053344006,146.2542698762872
0.0006818162294944479,141.6830927043288
0.0007273165113001462,137.2614137438409
0.0007758532060787836,132.98246810565507
0.0008276289456246352,128.84085219613138
0.000882859884149515,124.83601296714319
0.0009417766006869519,120.96047226891714
0.0010046250617173414,117.2095146496145
0.0010716676480328634,113.58401762063023
0.0011431842501291502,110.0750938543126
0.0012194734366967382,106.67901089058017
0.001300853701090572,103.39832644767057
0.0013876647909813085,100.22346905584457
0.0014802691267395086,97.15149206852895
0.0015790533144741758,94.18410412512469
0.0016844297600423152,91.3129013162347
0.0017968383907677212,88.53576863418904
0.001916748492056815,85.85442594300882
0.0020446606665791177,83.25924794829179
0.00218110892419152,80.75214611768504
0.002326662911331458,78.32977276786663
0.002481930289186255,75.98525092500763
0.0026475592705670664,73.72535868548952
0.002824241326078436,71.53893505334185
0.0030127140708811643,69.42662746587825
0.0032137643441002787,67.38912529157024
0.0034282314937339707,65.41753287040265
0.003657010880777493,63.518106526996604
0.0039010576171909935,61.68300062905918
0.004161390553316707,59.90927198504073
0.004439096531392171,58.202874898666444
0.004735334922917116,56.552190595194126
0.005051342468816766,54.96233452905617
0.005388438442608223,53.42989980869503
0.005748030158125357,51.94745976480526
0.006131618844795775,50.52655246411772
0.00654080591499826,49.15283503893962
0.006977299649665538,47.82946281839909
0.007442922330043758,46.558565232708055
0.007939617845382283,45.32975035122785
0.008469459808314586,44.153074344890115
0.009034660211810534,43.01893165869648
0.009637578663841089,41.92541304314565
0.010280732238308648,40.88163171413252
0.010966805983368697,39.87068842540659
0.011698664131013082,38.90738896296261
0.012479362054713113,37.978541695193805
0.013312159025043077,37.087687465704775
0.014200531816536818,36.236478562544455
0.015148189222583474,35.41369318665408
0.016159087538959192,34.63597720534833
0.0172374470806362,33.883108512766185
0.018387769800823267,33.16986335506531
0.019614858085794294,32.4827330761284
0.020923834803969792,31.82918277003103
0.022320164692952345,31.204706923860666
0.023809677173803584,30.607080125434535
0.02539859068780724,30.03583867555292
0.027093538657320542,29.501749088485028
0.028901597179095115,28.98065690482348
0.03083031456568277,28.497049183555976
0.0328877428582551,28.026596453324824
0.035082471442397886,27.59083944154652
0.037423662907219844,27.164973108362762
0.03992109129748053,26.774542439672803
0.04258518291843415,26.39088150416548
0.04542705986374043,26.043033642653768
0.048458586448165,25.699770627417053
0.051692418738916036,25.388425080254013
0.05514205739240302,25.084979735864454
0.058821904016999556,24.80347366248512
0.06274732129711574,24.53770312822436
0.06693469712958668,24.280927727285743
0.07140151304013403,24.05047141908014
0.07616641716552892,23.822202428862873
0.08124930210614048,23.616601091629885
0.08667138797389225,23.421029273422352
0.0924553109823358,23.2270803096044
0.09862521794868784,23.0622552227278
0.10520686710236228,22.898599775293675
0.11222773562085071,22.737981755843624
0.1197171343418968,22.602222365748997
0.12770633013086446,22.46727354064633
0.1362286764141647,22.3331304409764
0.14531975242368955,22.221529135050975
0.1550175117335769,22.11216534624807
0.16536244070941822,22.00333979395573
0.17639772753140454,21.904868117753967
0.18816944249705556,21.81840134848213
0.20072673035625682,21.732275896133448
0.21412201548157317,21.646490413401423
0.22841122073038256,21.571656636468155
0.2436540009125466,21.505575479289117
0.2599139918382933,21.4396967506675
0.2772590759860481,21.374019830497325
0.2957616658993257,21.310387241776233
0.31549900649580886,21.261903730267868
0.33655349755070946,21.21353052416416
0.35901303770070686,21.16526737250801
0.3829713914046285,21.117114024913228
0.40852858039285656,21.06907023156332
0.435791301239703,21.03408666700436
0.4648733708020257,21.000522755729136
0.49589620138372115,20.967012402098614
0.5289893076098157,20.933555520651307
